231,1 25 Apr 2019 Richard Jeffers W Sandy Mush Rd.--west of Merced NWR ,Riparia riparia 
232,1 23 Apr 2019 Jeff Graham San Luis NWR ,Ixobrychus exilis 
233,1 29 Mar 2019 D Krajnovich Lake Yosemite Co. Park ,Certhia americana 
234,1 17 Mar 2019 John Harris Merced NWR ,Melospiza georgiana 
235,1 10 Mar 2019 Ed Vermeulen Los Banos Wildlife Area ,Sayornis phoebe 
236,2 15 Feb 2019 Dale Swanberg Henderson Park ,Patagioenas fasciata 
237,1 13 Feb 2019 Pete Dunten Gustine WTP ,Larus canus 
238,1 24 Nov 2018 Jim Rowoth San Luis Reservoir SRA--San Luis Creek Campground ,Podiceps grisegena 
239,1 20 Nov 2018 Kent Van Vuren O'Neill Forebay ,Melanitta americana 
240,1 4 Oct 2018 Frances Oliver San Luis Reservoir SRA--Basalt Campground ,Mniotilta varia 
241,1 13 Sep 2018 Pete Dunten San Luis Reservoir SRA--Medeiros area ,Larus occidentalis 
242,1 4 Sep 2018 Alex Lamoreaux Gustine WTP ,Limnodromus griseus 
243,1 27 Aug 2018 Dale Swanberg Cressey ,Piranga rubra 
244,"1 15 Jul 2018 Pete Dunten Grasslands Wildlife Management Area, Dos Palos US-CA (37.1585,-120.8120) ",Vireo bellii 
245,"1 30 May 2018 Edward Porter Merced National Wildlife Refuge, Merced US-CA (37.1821,-120.6200) ",Empidonax oberholseri 
246,1 11 May 2018 John Harris Fields Rd.--La Grange Rd. to Keyes Rd. ,Ammodramus savannarum 
247,1 23 Apr 2018 Dale Swanberg Volta Wildlife Area ,Parkesia noveboracensis 
248,2 19 Feb 2018 James Hudson San Luis NWR ,Ixoreus naevius 
249,1 2 Feb 2018 Anonymous eBirder San Luis NWR--Waterfowl Tour Route ,Larus hyperboreus 
250,1 20 Oct 2017 Stephen Long San Luis Reservoir SRA--Fisherman's Pt. ,Leucophaeus pipixcan 
251,1 18 Oct 2017 John Sterling San Luis Reservoir SRA--Basalt Campground ,Vireo plumbeus 
252,2 17 Oct 2017 Pete Dunten San Luis Reservoir SRA--Fisherman's Pt. ,Melanitta perspicillata 
253,1 10 Oct 2017 Dale Swanberg San Luis Reservoir SRA--Basalt Campground ,Setophaga striata 
254,1 5 Oct 2017 George Folsom San Luis Reservoir SRA--Basalt Campground ,Setophaga pensylvanica 
255,1 21 Sep 2017 Kent Van Vuren O'Neill Forebay ,Amphispiza bilineata 
256,1 11 Apr 2017 John Harris Private residence near Cressey ,Icterus spurius 
257,1 16 Dec 2016 Pete Dunten Los Banos WTP (restricted access) ,Charadrius nivosus 
258,1 29 Nov 2016 Kent Van Vuren Pacheco SP (MER Co.) ,Troglodytes pacificus 
259,1 1 Oct 2016 Pete Dunten San Luis Reservoir SRA--Basalt area boat launch ,Sterna paradisaea 
260,1 14 Sep 2016 Pete Dunten San Luis Reservoir SRA--Basalt Campground ,Pheucticus ludovicianus 
261,1 13 Sep 2016 Kent Van Vuren San Luis Reservoir SRA--Basalt Campground ,Setophaga magnolia 
262,1 28 Jun 2016 Ralph Baker San Luis NWR--West Bear Creek Unit ,Egretta caerulea 
263,1 5 May 2016 Pete Dunten Los Banos WTP (restricted access) ,Arenaria interpres 
264,2 3 May 2016 George Folsom San Luis Reservoir SRA--San Luis Creek Campground ,Loxia curvirostra 
265,1 25 Feb 2016 shirley murphy Merced NWR ,Calidris pugnax 
266,1 19 Sep 2015 Pete Dunten San Luis Reservoir SRA--Basalt Campground ,Setophaga ruticilla 
267,1 2 Apr 2015 Pete Dunten San Luis Reservoir SRA--San Luis Creek area ,Setophaga palmarum 
268,1 23 Mar 2015 Pete Dunten San Luis Reservoir SRA--San Luis Creek area ,Sphyrapicus nuchalis 
269,1 12 Mar 2015 Frances Oliver San Luis Reservoir SRA--San Luis Creek area ,Sphyrapicus varius 
270,1 1 Mar 2015 Eddie Bartley Merced NWR ,Asio otus 
271,1 14 Jan 2015 Kent Van Vuren O'Neill Forebay ,Gavia stellata 
272,"1 23 Nov 2014 John York Santa Fe Grade Rd, Los Banos ",Euphagus carolinus 
273,1 3 Oct 2014 Kent Van Vuren Los Banos WTP (restricted access) ,Pluvialis dominica 
274,1 23 Sep 2014 Kent Van Vuren O'Neill Forebay ,Xema sabini 
275,7 8 Jan 2014 Kent Van Vuren Los Banos WTP (restricted access) ,Artemisiospiza nevadensis 
276,4 3 Jan 2014 Kent Van Vuren San Luis Reservoir ,Pelecanus occidentalis 
277,1 30 Dec 2013 Dale Swanberg Henderson Park ,Glaucidium gnoma 
278,1 30 Nov 2013 Justin Bosler San Luis Reservoir SRA--Medeiros area ,Melanitta deglandi 
279,1 16 Nov 2013 John Garrett Merced NWR--Auto Loop ,Calcarius lapponicus 
280,1 8 Aug 2013 Kent Van Vuren Gustine WTP ,Calidris pusilla 
281,1 25 May 2013 John Sterling San Luis Reservoir SRA--San Luis Creek area ,Branta bernicla 
282,2 27 Nov 2012 Kent Van Vuren O'Neill Forebay ,Gavia pacifica 
283,1 6 Sep 2012 Kent Van Vuren San Luis Reservoir ,Leucophaeus atricilla 
284,1 28 May 2012 Kent Van Vuren Pacheco State Park ,Artemisiospiza belli 
285,1 18 Feb 2012 Kent Van Vuren O'Neill Forebay ,Aythya fuligula 
286,1 16 Jan 2012 Anonymous eBirder Healy Rd. (MER Co.) ,Calamospiza melanocorys 
287,"1 14 Dec 2011 Jan Wilson Raynor Ranch Rd & Preston, Mariposa Co. ",Lanius borealis 
288,6 5 Apr 2010 Anonymous eBirder San Luis Reservoir SRA--Dinosaur Pt. ,Progne subis 
289,1 2 Jan 2010 Don Roberson O'Neill Forebay ,Clangula hyemalis 
290,1 14 Oct 2008 Stephanie Floyd San Luis Reservoir SRA--Romero Visitor Center ,Gavia adamsii 
291,1 5 Oct 2008 Steve Glover San Luis Reservoir SRA--Dinosaur Pt. ,Poecile rufescens 
292,1 5 Oct 2008 Steve Glover San Luis Reservoir ,Stercorarius longicaudus 
293,1 20 Sep 2008 Kent Van Vuren O'Neill Forebay ,Larus heermanni 
294,1 30 Mar 2007 Oscar Johnson O'Neill Forebay ,Selasphorus sasin 
295,1 24 May 2006 Chris Tonra Private Land west of Merced ,Calcarius ornatus 
296,1 14 Feb 2005 Merced NWR ,Calidris himantopus 
297,1 26 May 2003 Kent Van Vuren Merced NWR ,Calidris ferruginea 
298,1 11 Jan 2003 Jim Rowoth Outside Canal ,Rissa tridactyla 
