name 	 ottid 	 sources 	 node_id 	 notes
Idiostolidae	568263	ncbi:236390,gbif:7885,irmng:109541	ott568263	
Apheliscidae	6143980	gbif:8689296	ott6143980	
Austroniphargidae	6188625	worms:720678,gbif:7587631	ott6188625	
Discodorididae	32017	worms:1761,ncbi:71313,ncbi:6515,ncbi:204771,ncbi:216336,gbif:2652,gbif:7041,irmng:110823	ott32017	
Longipterygidae	3602821	gbif:4843636,irmng:117436	ott3602821	
Oligosphaeraceae	4795681	ncbi:1313209,gbif:9104539	ott4795681	
Strombidae	894558	worms:23123,ncbi:69694,gbif:7064,irmng:113067	ott894558	
Syringodermataceae	736726	ncbi:27950,worms:143786,gbif:8657,irmng:104438	ott736726	
Himantariidae	515487	ncbi:60156,worms:394590,gbif:8265,irmng:110557	ott515487	
Psilorhynchidae	3628503	ncbi:1489615,worms:154637,gbif:3387,irmng:111438	ott3628503	
Apataniidae	919159	ncbi:177653,gbif:7956,irmng:107950	ott919159	
Phreatoicopsidae	707621	worms:292922,ncbi:764588,gbif:5385,irmng:121555	mrcaott133210ott3000807	
Paratennulidae	139982	ncbi:122013,gbif:9933692	ott139982	
Strongylophthalmyiidae	451703	ncbi:286515,gbif:6922,irmng:111178	ott451703	
Embiotocidae	771061	ncbi:50791,worms:151386,gbif:4269,irmng:115117	ott771061	
Paludicellidae	26738	ncbi:569420,worms:153726,gbif:6902,irmng:109066	ott26738	
Spatangidae	483698	ncbi:271708,worms:123177,gbif:5604,irmng:101193	ott483698	
Saltiseiidae	129926	ncbi:150400,gbif:4663782,irmng:115731	ott129926	
Nitrariaceae	126942	ncbi:91851,gbif:3233023,irmng:119633	ott126942	
Schizopetalidae	3515869	worms:888776,gbif:7230,irmng:112795	ott3515869	
Xyelidae	417000	ncbi:48206,gbif:7921,irmng:103943	ott417000	
Phalangopsidae	5021889	ncbi:1634180,gbif:3259733,irmng:110414	ott5021889	
Kirchenpaueriidae	315304	worms:22796,ncbi:308592,gbif:8208,irmng:108154	ott315304	
Desulfobulbaceae	846631	silva:L42613/#5,ncbi:213121,worms:570067,gbif:8936,irmng:112475	ott846631	
Rhaphidophoridae	188741	ncbi:62768,worms:989467,gbif:8223,irmng:104884	ott188741	
Balneicellaceae	5993043	ncbi:1903335,gbif:10536306	ott5993043	
Goneplacidae	936670	worms:106757,ncbi:486104,gbif:8042,irmng:100058	ott936670	
Grammotheleaceae	5261553	if:81779	ott5261553	
Ganeshidae	3684274	worms:264885,gbif:9178,irmng:111594	ott3684274	
Prochilodontidae	1027741	ncbi:27693,worms:267008,gbif:7331,irmng:105122	ott1027741	
Streptosporangiaceae	5255488	silva:X87319	ott5255488	
Gloniaceae	420963	if:511999,ncbi:603431,gbif:3281105	ott420963	
Cactaceae	584111	ncbi:3593,worms:414774,gbif:2519,irmng:115980	ott584111	
Wandinidae	4675155	worms:557844,gbif:4304228,irmng:107451	ott4675155	
Sinipercidae	399528	ncbi:119486,gbif:8581541	ott399528	
Leptochitonidae	464344	worms:59,ncbi:291856,ncbi:120436,gbif:3234,irmng:106708	ott464344	
Acanthoplegmidae	408923	ncbi:1127112,worms:367347,gbif:8226696,irmng:115797	ott408923	
Merliniidae	5680708	ncbi:1544977	ott5680708	
Ulodidae	897565	ncbi:219433,gbif:3261952,irmng:116625	mrcaott156994ott4620223	
Echinidae	43567	ncbi:7676,worms:123160,gbif:5597,irmng:101329	mrcaott360ott26831	
Callioplanidae	137384	ncbi:31253,worms:142056,gbif:6376,irmng:109555,irmng:121701	ott137384	
Telasphaerulaceae	7510178	ncbi:2013617	ott7510178	
Hexathelidae	45515	ncbi:6901,gbif:7372,irmng:105440	ott45515	
Molossidae	238416	ncbi:9436,gbif:5719,irmng:104635	ott238416	
Xenopeltidae	323409	ncbi:196251,gbif:9117,irmng:113633	ott323409	
Tetraonchoididae	5133794	ncbi:2048238,worms:119234,gbif:4282209,irmng:113463	ott5133794	
Pachytrematidae	1074896	ncbi:99740,irmng:114491	ott1074896	
Conleyidae	4669109	worms:439041,gbif:4646441,irmng:117590	ott4669109	
Campodesmidae	3514435	worms:888694,gbif:8230,irmng:110855	ott3514435	
Rhopalonematidae	883633	worms:16842,ncbi:168727,gbif:3375,irmng:109442	mrcaott131638ott364580	
Corbariastraeidae	7993643	gbif:9894333	ott7993643	
Stereophyllaceae	479847	ncbi:90290,gbif:8753,irmng:107199	mrcaott3217ott3664	Maps to same node as: Fabroniaceae - Stereophyllaceae - Plagiotheciaceae - Leucodontaceae
Macronyssidae	690231	ncbi:224534,gbif:2830,irmng:108475	ott690231	
Bolbitiaceae	234956	if:80522,ncbi:5398,worms:426175,gbif:8440,irmng:110051	mrcaott206ott11226	
Chromatiaceae	137782	silva:D50655/#5,ncbi:1046,worms:391946,gbif:4897,irmng:105231,irmng:108706	mrcaott103ott1562	Maps to same node as: Chromatiaceae - Alcanivoracaceae
Anapidae	858408	ncbi:233276,gbif:7356,irmng:104666	ott858408	
Megadermatidae	813048	ncbi:9409,gbif:5718,irmng:104853	ott813048	
Megomphicidae	2882249	ncbi:1790136,gbif:2626,irmng:104050	ott2882249	
Pseudogarypidae	193345	ncbi:534993,gbif:7398,irmng:101162	ott193345	
Hemiarthridae	2867887	worms:385507,ncbi:291921,gbif:4370124,irmng:121576	ott2867887	
Eballistraceae	480047	if:82094,ncbi:165796,gbif:7600,irmng:106362	ott480047	
Bathyodontidae	406066	ncbi:266269,worms:227128,gbif:4281942,irmng:112345	ott406066	
Dolichodoridae	877447	ncbi:398403,worms:834844,gbif:2250,irmng:100413	ott877447	
Cleidogonidae	77628	ncbi:118458,worms:888702,gbif:7236,irmng:111145	ott77628	
Percophidae	612524	ncbi:270605,worms:151412,gbif:8575,irmng:115064	mrcaott392ott16164	
Fossombroniaceae	54102	ncbi:56885,gbif:6145,irmng:107309	ott54102	
Iteaceae	565291	ncbi:91830,gbif:3230646,irmng:100467	ott565291	
Tylenchidae	653747	ncbi:114893,worms:153399,gbif:6463,irmng:117199,irmng:110743	ott653747	
Perissommatidae	949345	ncbi:52746,gbif:6162,irmng:110412,irmng:106123	ott949345	
Psephenidae	891370	ncbi:186983,gbif:7846,irmng:101580	ott891370	
Teleotanaidae	2989765	worms:448992,gbif:6459440,irmng:120943	ott2989765	
Fibromonadaceae	5890877	ncbi:1812917	ott5890877	
Hormosinidae	525812	ncbi:212498,worms:111965,gbif:8169880,irmng:114581	ott525812	
